,Unnamed: 0,Datum,Tijd,Kraan,Reden,Water,Tijdsduur,Flow,Kan.1,Kan.1 Tijd,Kan.2,Kan.2 Tijd,Kan.3,Kan.3 Tijd,Kan.4,Kan.4 Tijd,Kan.5,Kan.5 Tijd,Kan.6,Kan.6 Tijd,Kan.7,Kan.7 Tijd,Kan.8,Kan.8 Tijd,EC-Lg,EC-Gm,EC-Hg,pH-Lg,pH-Gm,pH-Hg
14932,14933,2019-12-11 05:35:00,05:35,1,Dry Cont.,275,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14933,14934,2019-12-11 05:41:00,05:41,1,Dry Cont.,285,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14934,14935,2019-12-11 05:47:00,05:47,1,Dry Cont.,288,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14935,14936,2019-12-11 05:56:00,05:56,1,Dry Cont.,291,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14936,14937,2019-12-11 06:02:00,06:02,1,Dry Cont.,287,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14937,14938,2019-12-11 06:08:00,06:08,1,Dry Cont.,281,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14938,14939,2019-12-11 06:15:00,06:15,1,Dry Cont.,289,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14939,14940,2019-12-11 06:22:00,06:22,1,Dry Cont.,280,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14940,14941,2019-12-11 06:29:00,06:29,1,Dry Cont.,284,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14941,14942,2019-12-11 06:32:00,06:32,1,Dry Cont.,250,00:00:40,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14942,14943,2019-12-11 06:41:00,06:41,1,Dry Cont.,279,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14943,14944,2019-12-11 06:44:00,06:44,1,Dry Cont.,263,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14944,14945,2019-12-11 06:56:00,06:56,1,Dry Cont.,290,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14945,14946,2019-12-11 07:08:00,07:08,1,Dry Cont.,300,00:00:50,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14946,14947,2019-12-11 07:11:00,07:11,1,Dry Cont.,270,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14947,14948,2019-12-11 07:18:00,07:18,1,Dry Cont.,270,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14948,14949,2019-12-11 07:21:00,07:21,1,Dry Cont.,259,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14949,14950,2019-12-11 07:28:00,07:28,1,Dry Cont.,275,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14950,14951,2019-12-11 07:38:00,07:38,1,Dry Cont.,280,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14951,14952,2019-12-11 07:48:00,07:48,1,Dry Cont.,299,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14952,14953,2019-12-11 07:54:00,07:54,1,Dry Cont.,280,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14953,14954,2019-12-11 08:03:00,08:03,1,Dry Cont.,298,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14954,14955,2019-12-11 08:09:00,08:09,1,Dry Cont.,285,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14955,14956,2019-12-11 08:14:00,08:14,1,Dry Cont.,261,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14956,14957,2019-12-11 08:22:00,08:22,1,Dry Cont.,286,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14957,14958,2019-12-11 08:25:00,08:25,1,Dry Cont.,257,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14958,14959,2019-12-11 08:34:00,08:34,1,Dry Cont.,276,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14959,14960,2019-12-11 08:46:00,08:46,1,Dry Cont.,285,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14960,14961,2019-12-11 08:54:00,08:54,1,Dry Cont.,292,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14961,14962,2019-12-11 08:58:00,08:58,1,Dry Cont.,262,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14962,14963,2019-12-11 09:05:00,09:05,1,Dry Cont.,287,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14963,14964,2019-12-11 09:09:00,09:09,1,Dry Cont.,255,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14964,14965,2019-12-11 09:19:00,09:19,1,Dry Cont.,286,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14965,14966,2019-12-11 09:35:00,09:35,1,Dry Cont.,313,00:00:52,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14966,14967,2019-12-11 09:37:00,09:37,1,Dry Cont.,254,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14967,14968,2019-12-11 09:44:00,09:44,1,Dry Cont.,275,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14968,14969,2019-12-11 09:47:00,09:47,1,Dry Cont.,269,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14969,14970,2019-12-11 09:51:00,09:51,1,Dry Cont.,254,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14970,14971,2019-12-11 10:00:00,10:00,1,Dry Cont.,275,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14971,14972,2019-12-11 10:08:00,10:08,1,Dry Cont.,269,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14972,14973,2019-12-11 10:15:00,10:15,1,Dry Cont.,257,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14973,14974,2019-12-11 10:21:00,10:21,1,Dry Cont.,261,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14974,14975,2019-12-11 10:34:00,10:34,1,Dry Cont.,297,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14975,14976,2019-12-11 10:37:00,10:37,1,Dry Cont.,256,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14976,14977,2019-12-11 10:43:00,10:43,1,Dry Cont.,256,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14977,14978,2019-12-11 10:49:00,10:49,1,Dry Cont.,267,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14978,14979,2019-12-11 10:54:00,10:54,1,Dry Cont.,252,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14979,14980,2019-12-11 11:10:00,11:10,1,Dry Cont.,295,00:00:48,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14980,14981,2019-12-11 11:19:00,11:19,1,Dry Cont.,283,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14981,14982,2019-12-11 11:23:00,11:23,1,Dry Cont.,277,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14982,14983,2019-12-11 11:26:00,11:26,1,Dry Cont.,245,00:00:40,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14983,14984,2019-12-11 11:34:00,11:34,1,Dry Cont.,267,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14984,14985,2019-12-11 11:40:00,11:40,1,Dry Cont.,261,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14985,14986,2019-12-11 11:46:00,11:46,1,Dry Cont.,254,00:00:42,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14986,14987,2019-12-11 11:55:00,11:55,1,Dry Cont.,273,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14987,14988,2019-12-11 12:06:00,12:06,1,Dry Cont.,283,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14988,14989,2019-12-11 12:15:00,12:15,1,Dry Cont.,273,00:00:44,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
14989,14990,2019-12-11 12:18:00,12:18,1,Dry Cont.,245,00:00:40,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,6,7,,,
14990,14991,2019-12-11 12:31:00,12:31,1,Dry Cont.,286,00:00:46,22,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,0,00:00:00,7,7,7,,,
